MATCH: phishing_mails/0 -> similarity=1123.00, yara_score=0.00, total=1123.00
MATCH: phishing_mails/1 -> similarity=1863.00, yara_score=0.00, total=1863.00
MATCH: phishing_mails/2 -> similarity=720.00, yara_score=0.00, total=720.00
NO MATCH: phishing_mails/3 -> similarity=522.00, yara_score=0.00, total=522.00
MATCH: phishing_mails/4 -> similarity=958.00, yara_score=0.00, total=958.00
MATCH: phishing_mails/5 -> similarity=912.00, yara_score=0.00, total=912.00
MATCH: phishing_mails/6 -> similarity=1897.00, yara_score=0.00, total=1897.00
MATCH: phishing_mails/7 -> similarity=840.00, yara_score=0.00, total=840.00
MATCH: phishing_mails/8 -> similarity=1298.00, yara_score=0.00, total=1298.00
MATCH: phishing_mails/9 -> similarity=1196.00, yara_score=0.00, total=1196.00
MATCH: phishing_mails/10 -> similarity=801.00, yara_score=0.00, total=801.00
MATCH: phishing_mails/11 -> similarity=1927.00, yara_score=0.00, total=1927.00
MATCH: phishing_mails/12 -> similarity=1632.00, yara_score=0.00, total=1632.00
NO MATCH: phishing_mails/13 -> similarity=514.00, yara_score=0.00, total=514.00
NO MATCH: phishing_mails/14 -> similarity=569.00, yara_score=0.00, total=569.00
MATCH: phishing_mails/15 -> similarity=1327.00, yara_score=0.00, total=1327.00
MATCH: phishing_mails/16 -> similarity=1882.00, yara_score=0.00, total=1882.00
MATCH: phishing_mails/17 -> similarity=2921.00, yara_score=0.00, total=2921.00
MATCH: phishing_mails/18 -> similarity=1066.00, yara_score=0.00, total=1066.00
MATCH: phishing_mails/19 -> similarity=1422.00, yara_score=0.00, total=1422.00
NO MATCH: phishing_mails/20 -> similarity=364.00, yara_score=0.00, total=364.00
MATCH: phishing_mails/21 -> similarity=851.00, yara_score=0.00, total=851.00
MATCH: phishing_mails/22 -> similarity=3494.00, yara_score=0.00, total=3494.00
NO MATCH: phishing_mails/23 -> similarity=469.00, yara_score=0.00, total=469.00
NO MATCH: phishing_mails/24 -> similarity=295.00, yara_score=0.00, total=295.00
MATCH: phishing_mails/25 -> similarity=1144.00, yara_score=0.00, total=1144.00
MATCH: phishing_mails/26 -> similarity=867.00, yara_score=0.00, total=867.00
MATCH: phishing_mails/27 -> similarity=1436.00, yara_score=0.00, total=1436.00
MATCH: phishing_mails/28 -> similarity=2107.00, yara_score=0.00, total=2107.00
MATCH: phishing_mails/29 -> similarity=1916.00, yara_score=0.00, total=1916.00
NO MATCH: phishing_mails/30 -> similarity=542.00, yara_score=0.00, total=542.00
MATCH: phishing_mails/31 -> similarity=630.00, yara_score=0.00, total=630.00
MATCH: phishing_mails/32 -> similarity=1169.00, yara_score=0.00, total=1169.00
NO MATCH: phishing_mails/33 -> similarity=475.00, yara_score=0.00, total=475.00
MATCH: phishing_mails/34 -> similarity=1890.00, yara_score=0.00, total=1890.00
MATCH: phishing_mails/35 -> similarity=871.00, yara_score=0.00, total=871.00
NO MATCH: phishing_mails/36 -> similarity=433.00, yara_score=0.00, total=433.00
MATCH: phishing_mails/37 -> similarity=894.00, yara_score=0.00, total=894.00
MATCH: phishing_mails/38 -> similarity=949.00, yara_score=0.00, total=949.00
MATCH: phishing_mails/39 -> similarity=1918.00, yara_score=0.00, total=1918.00
MATCH: phishing_mails/40 -> similarity=2327.00, yara_score=0.00, total=2327.00
NO MATCH: phishing_mails/41 -> similarity=283.00, yara_score=0.00, total=283.00
MATCH: phishing_mails/42 -> similarity=973.00, yara_score=0.00, total=973.00
MATCH: phishing_mails/43 -> similarity=2281.00, yara_score=0.00, total=2281.00
MATCH: phishing_mails/44 -> similarity=674.00, yara_score=0.00, total=674.00
NO MATCH: phishing_mails/45 -> similarity=352.00, yara_score=0.00, total=352.00
MATCH: phishing_mails/46 -> similarity=740.00, yara_score=0.00, total=740.00
MATCH: phishing_mails/47 -> similarity=971.00, yara_score=0.00, total=971.00
MATCH: phishing_mails/48 -> similarity=697.00, yara_score=0.00, total=697.00
MATCH: phishing_mails/49 -> similarity=1430.00, yara_score=0.00, total=1430.00
MATCH: phishing_mails/50 -> similarity=741.00, yara_score=0.00, total=741.00
MATCH: phishing_mails/51 -> similarity=707.00, yara_score=0.00, total=707.00
NO MATCH: phishing_mails/52 -> similarity=385.00, yara_score=0.00, total=385.00
MATCH: phishing_mails/53 -> similarity=2285.00, yara_score=0.00, total=2285.00
MATCH: phishing_mails/54 -> similarity=799.00, yara_score=0.00, total=799.00
NO MATCH: phishing_mails/55 -> similarity=474.00, yara_score=0.00, total=474.00
MATCH: phishing_mails/56 -> similarity=626.00, yara_score=0.00, total=626.00
MATCH: phishing_mails/57 -> similarity=1847.00, yara_score=0.00, total=1847.00
MATCH: phishing_mails/58 -> similarity=1147.00, yara_score=0.00, total=1147.00
MATCH: phishing_mails/59 -> similarity=661.00, yara_score=0.00, total=661.00
MATCH: phishing_mails/60 -> similarity=1247.00, yara_score=0.00, total=1247.00
NO MATCH: phishing_mails/61 -> similarity=300.00, yara_score=0.00, total=300.00
NO MATCH: phishing_mails/62 -> similarity=607.00, yara_score=0.00, total=607.00
MATCH: phishing_mails/63 -> similarity=1427.00, yara_score=0.00, total=1427.00
MATCH: phishing_mails/64 -> similarity=751.00, yara_score=0.00, total=751.00
