MATCH: phishing_mails/0 -> similarity=1889.00, yara_score=0.00, total=1889.00
MATCH: phishing_mails/1 -> similarity=1754.00, yara_score=0.00, total=1754.00
NO MATCH: phishing_mails/2 -> similarity=661.00, yara_score=0.00, total=661.00
MATCH: phishing_mails/3 -> similarity=2279.00, yara_score=0.00, total=2279.00
NO MATCH: phishing_mails/4 -> similarity=621.00, yara_score=0.00, total=621.00
MATCH: phishing_mails/5 -> similarity=1255.00, yara_score=0.00, total=1255.00
NO MATCH: phishing_mails/6 -> similarity=684.00, yara_score=0.00, total=684.00
MATCH: phishing_mails/7 -> similarity=1451.00, yara_score=0.00, total=1451.00
NO MATCH: phishing_mails/8 -> similarity=484.00, yara_score=0.00, total=484.00
MATCH: phishing_mails/9 -> similarity=20384.00, yara_score=0.00, total=20384.00
MATCH: phishing_mails/10 -> similarity=2700.00, yara_score=0.00, total=2700.00
MATCH: phishing_mails/11 -> similarity=1057.00, yara_score=0.00, total=1057.00
MATCH: phishing_mails/12 -> similarity=1437.00, yara_score=0.00, total=1437.00
MATCH: phishing_mails/13 -> similarity=799.00, yara_score=0.00, total=799.00
NO MATCH: phishing_mails/14 -> similarity=725.00, yara_score=0.00, total=725.00
MATCH: phishing_mails/15 -> similarity=1157.00, yara_score=0.00, total=1157.00
MATCH: phishing_mails/16 -> similarity=4853.00, yara_score=0.00, total=4853.00
MATCH: phishing_mails/17 -> similarity=1159.00, yara_score=0.00, total=1159.00
MATCH: phishing_mails/18 -> similarity=1151.00, yara_score=0.00, total=1151.00
NO MATCH: phishing_mails/19 -> similarity=523.00, yara_score=0.00, total=523.00
MATCH: phishing_mails/20 -> similarity=5338.00, yara_score=0.00, total=5338.00
MATCH: phishing_mails/21 -> similarity=1422.00, yara_score=0.00, total=1422.00
MATCH: phishing_mails/22 -> similarity=1143.00, yara_score=0.00, total=1143.00
MATCH: phishing_mails/23 -> similarity=4476.00, yara_score=0.00, total=4476.00
MATCH: phishing_mails/24 -> similarity=1276.00, yara_score=0.00, total=1276.00
MATCH: phishing_mails/25 -> similarity=4074.00, yara_score=0.00, total=4074.00
MATCH: phishing_mails/26 -> similarity=900.00, yara_score=0.00, total=900.00
MATCH: phishing_mails/27 -> similarity=1542.00, yara_score=0.00, total=1542.00
MATCH: phishing_mails/28 -> similarity=1463.00, yara_score=0.00, total=1463.00
MATCH: phishing_mails/29 -> similarity=1108.00, yara_score=0.00, total=1108.00
MATCH: phishing_mails/30 -> similarity=815.00, yara_score=0.00, total=815.00
NO MATCH: phishing_mails/31 -> similarity=721.00, yara_score=0.00, total=721.00
NO MATCH: phishing_mails/32 -> similarity=636.00, yara_score=0.00, total=636.00
MATCH: phishing_mails/33 -> similarity=844.00, yara_score=0.00, total=844.00
NO MATCH: phishing_mails/34 -> similarity=641.00, yara_score=0.00, total=641.00
MATCH: phishing_mails/35 -> similarity=1159.00, yara_score=0.00, total=1159.00
MATCH: phishing_mails/36 -> similarity=960.00, yara_score=0.00, total=960.00
NO MATCH: phishing_mails/37 -> similarity=386.00, yara_score=0.00, total=386.00
MATCH: phishing_mails/38 -> similarity=1627.00, yara_score=0.00, total=1627.00
NO MATCH: phishing_mails/39 -> similarity=649.00, yara_score=0.00, total=649.00
MATCH: phishing_mails/40 -> similarity=2063.00, yara_score=0.00, total=2063.00
NO MATCH: phishing_mails/41 -> similarity=447.00, yara_score=0.00, total=447.00
MATCH: phishing_mails/42 -> similarity=2451.00, yara_score=0.00, total=2451.00
MATCH: phishing_mails/43 -> similarity=921.00, yara_score=0.00, total=921.00
MATCH: phishing_mails/44 -> similarity=2720.00, yara_score=0.00, total=2720.00
MATCH: phishing_mails/45 -> similarity=797.00, yara_score=0.00, total=797.00
MATCH: phishing_mails/46 -> similarity=1287.00, yara_score=0.00, total=1287.00
MATCH: phishing_mails/47 -> similarity=2092.00, yara_score=0.00, total=2092.00
MATCH: phishing_mails/48 -> similarity=754.00, yara_score=0.00, total=754.00
MATCH: phishing_mails/49 -> similarity=2316.00, yara_score=0.00, total=2316.00
MATCH: phishing_mails/50 -> similarity=2022.00, yara_score=0.00, total=2022.00
MATCH: phishing_mails/51 -> similarity=1573.00, yara_score=0.00, total=1573.00
MATCH: phishing_mails/52 -> similarity=971.00, yara_score=0.00, total=971.00
MATCH: phishing_mails/53 -> similarity=1037.00, yara_score=0.00, total=1037.00
MATCH: phishing_mails/54 -> similarity=778.00, yara_score=0.00, total=778.00
MATCH: phishing_mails/55 -> similarity=1205.00, yara_score=0.00, total=1205.00
MATCH: phishing_mails/56 -> similarity=2760.00, yara_score=0.00, total=2760.00
NO MATCH: phishing_mails/57 -> similarity=707.00, yara_score=0.00, total=707.00
MATCH: phishing_mails/58 -> similarity=4367.00, yara_score=0.00, total=4367.00
MATCH: phishing_mails/59 -> similarity=859.00, yara_score=0.00, total=859.00
MATCH: phishing_mails/60 -> similarity=13688.00, yara_score=0.00, total=13688.00
MATCH: phishing_mails/61 -> similarity=766.00, yara_score=0.00, total=766.00
NO MATCH: phishing_mails/62 -> similarity=553.00, yara_score=0.00, total=553.00
NO MATCH: phishing_mails/63 -> similarity=668.00, yara_score=0.00, total=668.00
MATCH: phishing_mails/64 -> similarity=1103.00, yara_score=0.00, total=1103.00
NO MATCH: phishing_mails/65 -> similarity=523.00, yara_score=0.00, total=523.00
NO MATCH: phishing_mails/66 -> similarity=649.00, yara_score=0.00, total=649.00
NO MATCH: phishing_mails/67 -> similarity=667.00, yara_score=0.00, total=667.00
NO MATCH: phishing_mails/68 -> similarity=602.00, yara_score=0.00, total=602.00
MATCH: phishing_mails/69 -> similarity=1991.00, yara_score=0.00, total=1991.00
MATCH: phishing_mails/70 -> similarity=862.00, yara_score=0.00, total=862.00
MATCH: phishing_mails/71 -> similarity=1118.00, yara_score=0.00, total=1118.00
MATCH: phishing_mails/72 -> similarity=951.00, yara_score=0.00, total=951.00
MATCH: phishing_mails/73 -> similarity=5255.00, yara_score=0.00, total=5255.00
MATCH: phishing_mails/74 -> similarity=1865.00, yara_score=0.00, total=1865.00
MATCH: phishing_mails/75 -> similarity=1738.00, yara_score=0.00, total=1738.00
MATCH: phishing_mails/76 -> similarity=7968.00, yara_score=0.00, total=7968.00
MATCH: phishing_mails/77 -> similarity=4165.00, yara_score=0.00, total=4165.00
MATCH: phishing_mails/78 -> similarity=1673.00, yara_score=0.00, total=1673.00
NO MATCH: phishing_mails/79 -> similarity=616.00, yara_score=0.00, total=616.00
NO MATCH: phishing_mails/80 -> similarity=531.00, yara_score=0.00, total=531.00
NO MATCH: phishing_mails/81 -> similarity=642.00, yara_score=0.00, total=642.00
MATCH: phishing_mails/82 -> similarity=1866.00, yara_score=0.00, total=1866.00
MATCH: phishing_mails/83 -> similarity=1203.00, yara_score=0.00, total=1203.00
NO MATCH: phishing_mails/84 -> similarity=527.00, yara_score=0.00, total=527.00
NO MATCH: phishing_mails/85 -> similarity=660.00, yara_score=0.00, total=660.00
MATCH: phishing_mails/86 -> similarity=824.00, yara_score=0.00, total=824.00
MATCH: phishing_mails/87 -> similarity=1327.00, yara_score=0.00, total=1327.00
NO MATCH: phishing_mails/88 -> similarity=622.00, yara_score=0.00, total=622.00
MATCH: phishing_mails/89 -> similarity=2082.00, yara_score=0.00, total=2082.00
MATCH: phishing_mails/90 -> similarity=1628.00, yara_score=0.00, total=1628.00
MATCH: phishing_mails/91 -> similarity=3274.00, yara_score=0.00, total=3274.00
MATCH: phishing_mails/92 -> similarity=853.00, yara_score=0.00, total=853.00
MATCH: phishing_mails/93 -> similarity=787.00, yara_score=0.00, total=787.00
NO MATCH: phishing_mails/94 -> similarity=647.00, yara_score=0.00, total=647.00
MATCH: phishing_mails/95 -> similarity=1056.00, yara_score=0.00, total=1056.00
NO MATCH: phishing_mails/96 -> similarity=684.00, yara_score=0.00, total=684.00
MATCH: phishing_mails/97 -> similarity=3626.00, yara_score=0.00, total=3626.00
MATCH: phishing_mails/98 -> similarity=1561.00, yara_score=0.00, total=1561.00
MATCH: phishing_mails/99 -> similarity=795.00, yara_score=0.00, total=795.00
MATCH: phishing_mails/100 -> similarity=2710.00, yara_score=0.00, total=2710.00
MATCH: phishing_mails/101 -> similarity=1468.00, yara_score=0.00, total=1468.00
NO MATCH: phishing_mails/102 -> similarity=493.00, yara_score=0.00, total=493.00
MATCH: phishing_mails/103 -> similarity=1817.00, yara_score=0.00, total=1817.00
MATCH: phishing_mails/104 -> similarity=1197.00, yara_score=0.00, total=1197.00
NO MATCH: phishing_mails/105 -> similarity=733.00, yara_score=0.00, total=733.00
MATCH: phishing_mails/106 -> similarity=2004.00, yara_score=0.00, total=2004.00
MATCH: phishing_mails/107 -> similarity=996.00, yara_score=0.00, total=996.00
MATCH: phishing_mails/108 -> similarity=863.00, yara_score=0.00, total=863.00
MATCH: phishing_mails/109 -> similarity=1015.00, yara_score=0.00, total=1015.00
MATCH: phishing_mails/110 -> similarity=869.00, yara_score=0.00, total=869.00
MATCH: phishing_mails/111 -> similarity=763.00, yara_score=0.00, total=763.00
MATCH: phishing_mails/112 -> similarity=25222.00, yara_score=0.00, total=25222.00
MATCH: phishing_mails/113 -> similarity=11407.00, yara_score=0.00, total=11407.00
MATCH: phishing_mails/114 -> similarity=1233.00, yara_score=0.00, total=1233.00
MATCH: phishing_mails/115 -> similarity=869.00, yara_score=0.00, total=869.00
MATCH: phishing_mails/116 -> similarity=1276.00, yara_score=0.00, total=1276.00
MATCH: phishing_mails/117 -> similarity=1913.00, yara_score=0.00, total=1913.00
MATCH: phishing_mails/118 -> similarity=6481.00, yara_score=0.00, total=6481.00
MATCH: phishing_mails/119 -> similarity=6415.00, yara_score=0.00, total=6415.00
MATCH: phishing_mails/120 -> similarity=2898.00, yara_score=0.00, total=2898.00
NO MATCH: phishing_mails/121 -> similarity=480.00, yara_score=0.00, total=480.00
MATCH: phishing_mails/122 -> similarity=3593.00, yara_score=0.00, total=3593.00
MATCH: phishing_mails/123 -> similarity=6563.00, yara_score=0.00, total=6563.00
NO MATCH: phishing_mails/124 -> similarity=683.00, yara_score=0.00, total=683.00
MATCH: phishing_mails/125 -> similarity=2717.00, yara_score=0.00, total=2717.00
MATCH: phishing_mails/126 -> similarity=3919.00, yara_score=0.00, total=3919.00
MATCH: phishing_mails/127 -> similarity=1352.00, yara_score=0.00, total=1352.00
MATCH: phishing_mails/128 -> similarity=1439.00, yara_score=0.00, total=1439.00
MATCH: phishing_mails/129 -> similarity=5212.00, yara_score=0.00, total=5212.00
MATCH: phishing_mails/130 -> similarity=1593.00, yara_score=0.00, total=1593.00
NO MATCH: phishing_mails/131 -> similarity=545.00, yara_score=0.00, total=545.00
NO MATCH: phishing_mails/132 -> similarity=562.00, yara_score=0.00, total=562.00
MATCH: phishing_mails/133 -> similarity=1186.00, yara_score=0.00, total=1186.00
MATCH: phishing_mails/134 -> similarity=1336.00, yara_score=0.00, total=1336.00
MATCH: phishing_mails/135 -> similarity=4641.00, yara_score=0.00, total=4641.00
MATCH: phishing_mails/136 -> similarity=2948.00, yara_score=0.00, total=2948.00
MATCH: phishing_mails/137 -> similarity=834.00, yara_score=0.00, total=834.00
MATCH: phishing_mails/138 -> similarity=840.00, yara_score=0.00, total=840.00
NO MATCH: phishing_mails/139 -> similarity=572.00, yara_score=0.00, total=572.00
MATCH: phishing_mails/140 -> similarity=2646.00, yara_score=0.00, total=2646.00
MATCH: phishing_mails/141 -> similarity=1200.00, yara_score=0.00, total=1200.00
MATCH: phishing_mails/142 -> similarity=1242.00, yara_score=0.00, total=1242.00
MATCH: phishing_mails/143 -> similarity=1242.00, yara_score=0.00, total=1242.00
NO MATCH: phishing_mails/144 -> similarity=474.00, yara_score=0.00, total=474.00
NO MATCH: phishing_mails/145 -> similarity=563.00, yara_score=0.00, total=563.00
MATCH: phishing_mails/146 -> similarity=890.00, yara_score=0.00, total=890.00
MATCH: phishing_mails/147 -> similarity=6182.00, yara_score=0.00, total=6182.00
MATCH: phishing_mails/148 -> similarity=778.00, yara_score=0.00, total=778.00
MATCH: phishing_mails/149 -> similarity=780.00, yara_score=0.00, total=780.00
MATCH: phishing_mails/150 -> similarity=1003.00, yara_score=0.00, total=1003.00
MATCH: phishing_mails/151 -> similarity=766.00, yara_score=0.00, total=766.00
MATCH: phishing_mails/152 -> similarity=1073.00, yara_score=0.00, total=1073.00
NO MATCH: phishing_mails/153 -> similarity=446.00, yara_score=0.00, total=446.00
NO MATCH: phishing_mails/154 -> similarity=723.00, yara_score=0.00, total=723.00
MATCH: phishing_mails/155 -> similarity=1349.00, yara_score=0.00, total=1349.00
MATCH: phishing_mails/156 -> similarity=1250.00, yara_score=0.00, total=1250.00
NO MATCH: phishing_mails/157 -> similarity=709.00, yara_score=0.00, total=709.00
MATCH: phishing_mails/158 -> similarity=1411.00, yara_score=0.00, total=1411.00
NO MATCH: phishing_mails/159 -> similarity=731.00, yara_score=0.00, total=731.00
MATCH: phishing_mails/160 -> similarity=1755.00, yara_score=0.00, total=1755.00
MATCH: phishing_mails/161 -> similarity=2614.00, yara_score=0.00, total=2614.00
MATCH: phishing_mails/162 -> similarity=2270.00, yara_score=0.00, total=2270.00
MATCH: phishing_mails/163 -> similarity=1961.00, yara_score=0.00, total=1961.00
MATCH: phishing_mails/164 -> similarity=784.00, yara_score=0.00, total=784.00
NO MATCH: phishing_mails/165 -> similarity=681.00, yara_score=0.00, total=681.00
MATCH: phishing_mails/166 -> similarity=61938.01, yara_score=0.00, total=61938.01
MATCH: phishing_mails/167 -> similarity=1214.00, yara_score=0.00, total=1214.00
NO MATCH: phishing_mails/168 -> similarity=382.00, yara_score=0.00, total=382.00
MATCH: phishing_mails/169 -> similarity=14597.00, yara_score=0.00, total=14597.00
MATCH: phishing_mails/170 -> similarity=1218.00, yara_score=0.00, total=1218.00
MATCH: phishing_mails/171 -> similarity=1125.00, yara_score=0.00, total=1125.00
MATCH: phishing_mails/172 -> similarity=1818.00, yara_score=0.00, total=1818.00
MATCH: phishing_mails/173 -> similarity=962.00, yara_score=0.00, total=962.00
MATCH: phishing_mails/174 -> similarity=2408.00, yara_score=0.00, total=2408.00
NO MATCH: phishing_mails/175 -> similarity=654.00, yara_score=0.00, total=654.00
MATCH: phishing_mails/176 -> similarity=73461.01, yara_score=0.00, total=73461.01
MATCH: phishing_mails/177 -> similarity=11848.00, yara_score=0.00, total=11848.00
MATCH: phishing_mails/178 -> similarity=1241.00, yara_score=0.00, total=1241.00
MATCH: phishing_mails/179 -> similarity=1244.00, yara_score=0.00, total=1244.00
MATCH: phishing_mails/180 -> similarity=961.00, yara_score=0.00, total=961.00
MATCH: phishing_mails/181 -> similarity=765.00, yara_score=0.00, total=765.00
NO MATCH: phishing_mails/182 -> similarity=652.00, yara_score=0.00, total=652.00
MATCH: phishing_mails/183 -> similarity=2007.00, yara_score=0.00, total=2007.00
