MATCH: phishing_mails/0 -> similarity=1510.00, yara_score=0.00, total=1510.00
MATCH: phishing_mails/1 -> similarity=391.00, yara_score=0.00, total=391.00
MATCH: phishing_mails/2 -> similarity=812.00, yara_score=0.00, total=812.00
MATCH: phishing_mails/3 -> similarity=1286.00, yara_score=0.00, total=1286.00
MATCH: phishing_mails/4 -> similarity=2188.00, yara_score=0.00, total=2188.00
MATCH: phishing_mails/5 -> similarity=328.00, yara_score=0.00, total=328.00
MATCH: phishing_mails/6 -> similarity=609.00, yara_score=0.00, total=609.00
MATCH: phishing_mails/7 -> similarity=594.00, yara_score=0.00, total=594.00
MATCH: phishing_mails/8 -> similarity=1445.00, yara_score=0.00, total=1445.00
MATCH: phishing_mails/9 -> similarity=221.00, yara_score=0.00, total=221.00
MATCH: phishing_mails/10 -> similarity=660.00, yara_score=0.00, total=660.00
MATCH: phishing_mails/11 -> similarity=821.00, yara_score=0.00, total=821.00
MATCH: phishing_mails/12 -> similarity=431.00, yara_score=0.00, total=431.00
MATCH: phishing_mails/13 -> similarity=349.00, yara_score=0.00, total=349.00
MATCH: phishing_mails/14 -> similarity=346.00, yara_score=0.00, total=346.00
MATCH: phishing_mails/15 -> similarity=314.00, yara_score=0.00, total=314.00
MATCH: phishing_mails/16 -> similarity=782.00, yara_score=0.00, total=782.00
MATCH: phishing_mails/17 -> similarity=734.00, yara_score=0.00, total=734.00
MATCH: phishing_mails/18 -> similarity=4404.00, yara_score=0.00, total=4404.00
MATCH: phishing_mails/19 -> similarity=579.00, yara_score=0.00, total=579.00
MATCH: phishing_mails/20 -> similarity=550.00, yara_score=0.00, total=550.00
MATCH: phishing_mails/21 -> similarity=605.00, yara_score=0.00, total=605.00
MATCH: phishing_mails/22 -> similarity=534.00, yara_score=0.00, total=534.00
MATCH: phishing_mails/23 -> similarity=723.00, yara_score=0.00, total=723.00
MATCH: phishing_mails/24 -> similarity=1088.00, yara_score=0.00, total=1088.00
MATCH: phishing_mails/25 -> similarity=1038.00, yara_score=0.00, total=1038.00
